iteration,Sim
1,0.666666667
2,0.744186047
3,0.755555556
4,0.790697674
5,0.761904762
6,0.739130435
7,0.653061224
8,0.772727273
9,0.755555556
10,0.888888889
11,0.680851064
12,0.681818182
13,0.680851064
14,0.666666667
15,0.708333333
16,0.723404255
17,0.566037736
18,0.612244898
19,0.64
20,0.666666667
21,0.734693878
22,0.641509434
23,0.68
24,0.680851064
25,0.740740741
26,0.654545455
27,0.716981132
28,0.680851064
29,0.734693878
