iteration,Sim
1,0.651933702
2,0.648351648
3,0.648351648
4,0.648351648
5,0.640883978
6,0.648351648
7,0.640883978
8,0.663101604
9,0.681081081
10,0.659459459
11,0.673913043
12,0.684491979
13,0.673913043
14,0.698412698
15,0.713513514
16,0.75
17,0.722513089
18,0.726315789
19,0.726315789
20,0.708994709
21,0.739583333
22,0.723404255
23,0.723404255
24,0.740740741
25,0.734042553
26,0.734042553
27,0.732984293
28,0.726315789
29,0.739583333
