epoch,loss
1,7.8223
2,7.9338
3,7.7629
4,7.9465
5,10.2162
6,10.1062
7,10.0993
8,9.8349
9,7.4142
10,7.5564
11,7.4993
12,7.4925
13,7.2615
14,6.9605
15,7.1058
16,7.1620
17,6.7912
18,6.6036
19,6.8489
20,6.4741
21,6.3139
22,6.8779
23,6.5357
24,6.4638
25,6.5532
26,6.7100
27,6.9080
28,6.8944
29,6.5044
30,6.6674
31,6.7236
32,6.4594
33,6.5250
34,6.4319
35,6.8501
36,6.7338
37,6.6556
38,6.5305
39,6.4138
40,6.4101
41,6.5302
42,6.7210
43,6.5952
44,6.4249
45,6.6853
46,6.8151
47,6.3350
48,6.3311
49,6.1916
50,6.1824
51,6.6020
52,6.4954
53,6.4162
54,6.4713
55,6.2063
56,6.4814
57,6.2431
58,6.1417
59,6.4158
60,5.9995
61,6.1654
62,6.1152
63,6.1752
64,6.1106
65,6.4123
66,5.9773
67,6.0527
68,6.4131
69,5.9584
70,5.9525
71,5.7401
72,5.8871
73,6.2093
74,6.0167
75,5.8538
76,5.8525
77,5.7669
78,5.7856
79,5.7820
80,6.0101
81,5.6614
82,5.7400
83,6.0764
84,6.1146
85,6.0112
86,5.7460
87,5.6686
88,5.7507
89,5.4349
90,5.6340
91,5.5460
92,5.7549
93,5.7607
94,5.7702
95,5.4252
96,5.4859
97,5.4845
98,5.5460
99,5.5259
100,5.4789
101,5.7319
102,5.7244
103,5.6305
104,5.6934
105,6.0536
106,6.1801
107,5.9349
108,6.0480
109,5.6093
110,5.9022
111,5.4235
112,5.8825
113,5.5597
114,5.6226
115,5.5060
116,5.5652
117,5.2446
118,5.2440
119,5.4383
120,5.6289
121,5.2127
122,5.3972
123,5.4690
124,5.4654
125,5.1238
126,5.1374
127,5.3124
128,5.5050
129,5.1404
130,5.3480
131,5.3606
132,5.1466
133,5.0149
134,5.1202
135,5.0580
136,5.1088
137,5.3029
138,5.1451
139,5.0661
140,5.3021
141,5.1853
142,5.3595
143,5.1677
144,5.3972
145,4.9087
146,4.4708
147,4.7144
148,4.4536
149,4.7104
150,4.5595
151,4.6597
152,4.6751
153,4.3567
154,4.3652
155,4.2156
156,4.5461
157,4.0596
158,4.2414
159,4.0627
160,4.2310
161,3.9888
162,3.9946
163,3.9870
164,3.9772
165,4.0496
166,3.7518
167,3.8001
168,3.8559
169,4.0835
170,4.3125
171,4.4738
172,4.0872
173,3.8436
174,3.8499
175,3.9319
176,3.8461
177,3.4719
178,3.4714
179,3.4712
180,3.4528
181,3.5204
182,3.3798
183,3.3786
184,3.6198
185,3.6732
186,3.5072
187,3.4660
188,3.5670
189,3.1124
190,3.2390
191,3.3465
192,3.3209
193,3.2238
194,3.3865
195,3.4701
196,3.3946
197,3.2597
198,2.9815
199,3.1000
200,3.0123
201,2.9215
202,2.9158
203,2.6831
204,2.9284
205,2.7137
206,2.7084
207,2.8075
208,2.7369
209,2.5342
210,2.5823
211,2.7207
212,2.4781
213,2.6442
214,2.4544
215,2.4749
216,2.6353
217,2.4793
218,2.4417
219,2.4355
220,2.4382
221,2.2306
222,2.4278
223,2.4334
224,2.3164
225,2.3484
226,2.2131
227,2.2822
228,2.1938
229,2.0863
230,2.0891
231,2.1108
232,2.0464
233,2.0667
234,2.0382
235,2.1234
236,2.1236
237,2.0404
238,2.0333
239,1.9841
240,2.0246
241,1.5913
242,1.9898
243,1.9028
244,1.9602
245,1.8817
246,1.8876
247,1.8973
248,1.8922
249,1.8257
250,1.8254
251,1.4676
252,1.8338
253,1.7867
254,1.7362
255,1.7536
256,1.7128
257,1.6750
258,1.6601
259,1.7216
260,1.6722
261,1.6010
262,1.5697
263,1.5630
264,1.5941
265,1.6352
266,1.5760
267,1.6218
268,1.5089
269,1.4885
270,1.5764
271,1.5095
272,1.4879
273,1.4675
274,1.4610
275,1.3922
